iter	RMSE
0	13280.97056
1	13280.18521
2	13279.34776
3	13278.46738
4	13277.60566
5	13276.77074
6	13276.22268
7	13275.32389
8	13274.82018
9	13273.94713
10	13273.40851
11	13272.57314
12	13271.78406
13	13270.96312
14	13270.42262
15	13269.563
16	13269.03592
17	13268.29331
18	13267.60529
19	13266.70671
20	13265.85493
21	13265.3585
22	13264.42671
23	13263.55471
24	13262.97347
25	13262.11705
26	13261.41187
27	13260.39761
28	13260.03003
29	13259.5108
30	13258.59709
31	13258.032
32	13257.40739
33	13256.77818
34	13256.00504
35	13255.47788
36	13254.61105
37	13254.00826
38	13252.91376
39	13252.38848
40	13251.59994
41	13250.777
42	13250.2606
43	13249.8988
44	13249.41935
45	13248.5509
46	13247.90047
47	13247.13309
48	13246.66269
49	13246.14538
50	13245.33123
51	13244.57355
52	13243.33
53	13242.46746
54	13241.83161
55	13241.09221
56	13239.9427
57	13239.06887
58	13238.5302
59	13237.74347
60	13236.60477
61	13235.92322
62	13235.44754
63	13234.67644
64	13233.50887
65	13232.9525
66	13232.39449
67	13231.87158
68	13231.15265
69	13230.30551
70	13229.48087
71	13228.61807
72	13227.99835
73	13226.97505
74	13226.45303
75	13225.73347
76	13225.21401
77	13223.99998
78	13223.27387
79	13222.80186
80	13221.9695
81	13221.58578
82	13220.76147
83	13220.22072
84	13219.39677
85	13218.92609
86	13218.08427
87	13217.39181
88	13216.99397
89	13216.12927
90	13215.27227
91	13214.51671
92	13213.9721
93	13213.1492
94	13212.22894
95	13211.8479
96	13210.81287
97	13210.35553
98	13209.89334
99	13209.09882
100	13208.19251
101	13206.90263
102	13206.2866
103	13205.77418
104	13204.63768
105	13203.74538
106	13203.2502
107	13202.43073
108	13201.6512
109	13201.01376
110	13200.25506
111	13199.62759
112	13198.77299
113	13198.27377
114	13197.80418
115	13196.73853
116	13195.9019
117	13195.2329
118	13193.92999
119	13193.44138
120	13192.81748
121	13192.0862
122	13191.23583
123	13190.33899
124	13189.54742
125	13189.06076
126	13188.7036
127	13188.18417
128	13186.87998
129	13186.33896
130	13185.98514
131	13185.24935
132	13184.42003
133	13183.72221
134	13183.19774
135	13182.69266
136	13181.91407
137	13181.43127
138	13180.99226
139	13180.15444
140	13179.31432
141	13178.50512
142	13177.70216
143	13177.05439
144	13176.54677
145	13176.09843
146	13175.64477
147	13174.9119
148	13174.51604
149	13174.02394
150	13173.55456
151	13173.06128
152	13172.3552
153	13171.8932
154	13171.16948
155	13170.36344
156	13169.80703
157	13169.3362
158	13168.52648
159	13167.67243
160	13167.33172
161	13166.56851
162	13165.83351
163	13165.22876
164	13164.46505
165	13163.99997
166	13163.49164
167	13163.12613
168	13162.69484
169	13161.94397
170	13161.50322
171	13160.73643
172	13160.10704
173	13159.41964
174	13158.35316
175	13157.45629
176	13156.97333
177	13156.60439
178	13155.92809
179	13154.76627
180	13153.79897
181	13153.02316
182	13151.88391
183	13150.79271
184	13149.95201
185	13149.49198
186	13149.01767
187	13148.20116
188	13147.48415
189	13147.00467
190	13146.66086
191	13146.152
192	13145.63727
193	13145.19658
194	13144.81576
195	13143.97372
196	13143.60162
197	13143.25311
198	13142.77801
199	13142.2817
200	13141.47652
201	13140.99872
202	13140.15303
203	13139.36283
204	13138.97405
205	13138.63693
206	13137.84359
207	13137.30399
208	13136.81595
209	13136.11712
210	13135.38758
211	13134.57436
212	13134.09903
213	13133.15063
214	13132.37336
215	13131.65251
216	13131.28833
217	13130.08493
218	13129.17934
219	13128.34846
220	13127.84076
221	13127.13149
222	13126.47196
223	13125.47311
224	13124.63115
225	13123.57601
226	13123.20939
227	13122.47611
228	13122.00622
229	13121.19528
230	13120.84037
231	13120.47189
232	13119.86644
233	13119.44651
234	13118.74964
235	13117.95573
236	13117.33476
237	13116.55454
238	13116.02596
239	13115.54998
240	13114.887
241	13113.79265
242	13112.99251
243	13112.20962
244	13111.38011
245	13110.56975
246	13109.80267
247	13108.62126
248	13107.65084
249	13107.18415
250	13106.35768
251	13105.60358
252	13104.46481
253	13103.92087
254	13102.82906
255	13102.34127
256	13101.99633
257	13101.19875
258	13100.84203
259	13100.04799
260	13099.5657
261	13098.80401
262	13098.33289
263	13097.87327
264	13097.02288
265	13095.81438
266	13095.02523
267	13093.94229
268	13093.18825
269	13092.42752
270	13091.68492
271	13091.24162
272	13090.759
273	13090.09627
274	13089.75315
275	13089.05718
276	13087.96839
277	13087.24813
278	13086.42223
279	13085.9407
280	13085.15231
281	13084.71329
282	13084.26639
283	13083.59791
284	13083.17424
285	13082.82856
286	13082.11633
287	13081.45553
288	13081.0084
289	13080.24145
290	13078.94807
291	13078.1095
292	13077.366
293	13076.57125
294	13075.5067
295	13075.01385
296	13074.37792
297	13073.93316
298	13073.29195
299	13072.56981
300	13072.15429
301	13071.34172
302	13070.25901
303	13069.33313
304	13068.86267
305	13067.74801
306	13067.02892
307	13066.28608
308	13065.85949
309	13064.82063
310	13063.72691
311	13062.94097
312	13062.49051
313	13061.90162
314	13061.23669
315	13060.61381
316	13060.16661
317	13059.37525
318	13058.90464
319	13058.14421
320	13057.43125
321	13056.96216
322	13056.6332
323	13056.16942
324	13055.55913
325	13054.74697
326	13053.95064
327	13052.86584
328	13052.33477
329	13051.87264
330	13051.36149
331	13050.57484
332	13049.88634
333	13049.32653
334	13048.85866
335	13048.52921
336	13047.81547
337	13047.09989
338	13046.13276
339	13045.8105
340	13045.17751
341	13044.45867
342	13043.64279
343	13043.24237
344	13042.90553
345	13042.58891
346	13042.14433
347	13041.41878
348	13041.11281
349	13040.32351
350	13039.56892
351	13038.43907
352	13037.98777
353	13037.24479
354	13036.24006
355	13035.76979
356	13035.37664
357	13034.89831
358	13033.65555
359	13032.89992
360	13032.1329
361	13031.70647
362	13030.69071
363	13030.09702
364	13029.77821
365	13029.30717
366	13028.76797
367	13028.27595
368	13027.52094
369	13026.81631
370	13026.33115
371	13025.37795
372	13025.06386
373	13024.29169
374	13023.52118
375	13022.74025
376	13021.98887
377	13021.63891
378	13021.22402
379	13020.50958
380	13019.76661
381	13019.34027
382	13018.57581
383	13017.81919
384	13017.04275
385	13016.48386
386	13016.05748
387	13015.73152
388	13014.9616
389	13014.37031
390	13013.64926
391	13012.90201
392	13012.11032
393	13011.42565
394	13011.07844
395	13010.55227
396	13010.23631
397	13009.52011
398	13008.81137
399	13008.0865
400	13007.35537
401	13006.62233
402	13006.03413
403	13005.03851
404	13004.2461
405	13003.78844
406	13003.47474
407	13002.78694
408	13002.45127
409	13001.71243
410	13001.35278
411	13000.69527
412	12999.69091
413	12998.75009
414	12997.97287
415	12997.63746
416	12997.17387
417	12996.19418
418	12995.76866
419	12995.32005
420	12994.92748
421	12994.29248
422	12993.54623
423	12993.14778
424	12992.72645
425	12991.8837
426	12991.09871
427	12990.68623
428	12990.3689
429	12989.7244
430	12988.98568
431	12987.92218
432	12986.90418
433	12986.42686
434	12986.08375
435	12985.69056
436	12985.04838
437	12984.06641
438	12983.37459
439	12982.61495
440	12981.82507
441	12981.36858
442	12980.74882
443	12980.0292
444	12979.57958
445	12978.60507
446	12977.88652
447	12977.43188
448	12977.00482
449	12976.27355
450	12975.09233
451	12974.68561
452	12974.00923
453	12973.61369
454	12973.22122
455	12972.42298
456	12971.70641
457	12971.35266
458	12970.97155
459	12970.57873
460	12970.06338
461	12969.755
462	12968.8344
463	12968.44917
464	12967.98811
465	12966.83191
466	12966.08916
467	12965.78448
468	12965.45129
469	12964.68866
470	12963.94491
471	12963.40781
472	12962.7218
473	12962.25571
474	12961.63531
475	12960.75928
476	12959.96408
477	12959.23742
478	12958.65986
479	12957.90223
480	12957.46492
481	12956.91403
482	12956.50499
483	12955.5718
484	12954.6117
485	12953.85348
486	12953.54522
487	12953.13863
488	12952.80721
489	12952.31927
490	12951.94958
491	12951.52616
492	12950.80728
493	12950.49019
494	12950.16172
495	12949.57754
496	12948.91678
497	12948.61109
498	12948.19092
499	12947.30062
500	12946.97517
501	12946.26347
502	12945.56548
503	12945.12925
504	12944.4913
505	12944.17786
506	12943.39804
507	12942.70892
508	12941.99908
509	12941.40673
510	12940.72994
511	12940.04547
512	12939.60608
513	12939.20708
514	12938.57915
515	12938.07168
516	12937.54948
517	12937.15452
518	12936.45568
519	12935.37484
520	12934.4417
521	12933.77495
522	12933.11591
523	12932.35043
524	12931.64206
525	12931.22137
526	12930.28267
527	12929.77322
528	12928.75624
529	12927.9376
530	12927.53512
531	12926.91645
532	12926.16931
533	12925.60541
534	12925.26083
535	12924.64319
536	12923.9178
537	12923.1794
538	12922.87864
539	12922.32809
540	12921.54316
541	12921.14129
542	12920.83232
543	12920.42159
544	12919.92641
545	12919.21938
546	12918.51827
547	12918.2163
548	12917.82698
549	12917.10541
550	12916.16973
551	12915.83339
552	12915.17975
553	12914.78838
554	12914.34583
555	12913.95311
556	12912.94097
557	12912.00631
558	12911.38296
559	12910.87102
560	12910.35874
561	12910.05653
562	12909.54292
563	12909.14083
564	12908.7533
565	12907.78851
566	12906.69996
567	12906.40259
568	12905.93569
569	12905.59808
570	12904.91278
571	12904.59383
572	12903.92992
573	12903.42082
574	12903.01197
575	12902.66447
576	12901.95107
577	12901.24084
578	12900.79524
579	12900.44554
580	12900.09514
581	12899.44998
582	12899.02454
583	12898.4656
584	12898.10256
585	12897.78569
586	12897.02268
587	12896.61625
588	12895.89285
589	12895.4621
590	12895.15886
591	12894.70408
592	12894.3857
593	12893.66244
594	12893.2273
595	12892.83493
596	12892.18922
597	12891.57927
598	12890.58404
599	12889.88046
600	12889.13409
601	12888.4602
602	12888.11982
603	12887.69223
604	12887.3996
605	12887.02434
606	12886.68651
607	12886.11502
608	12884.95024
609	12884.6513
610	12883.93513
611	12883.63667
612	12882.62368
613	12881.68029
614	12881.3837
615	12880.6562
616	12880.14641
617	12879.77337
618	12879.37316
619	12878.80218
620	12878.30075
621	12877.63636
622	12877.17934
623	12876.79615
624	12876.24378
625	12875.52745
626	12874.75446
627	12873.9404
628	12873.28313
629	12872.89447
630	12872.30486
631	12871.63958
632	12871.26915
633	12870.31645
634	12869.95197
635	12869.32932
636	12868.94066
637	12868.26538
638	12867.86102
639	12867.18251
640	12866.46188
641	12865.76261
642	12865.34728
643	12864.90422
644	12864.55053
645	12864.14315
646	12863.6862
647	12863.00585
648	12862.61463
649	12861.65336
650	12861.27062
651	12860.62549
652	12860.33115
653	12860.0363
654	12859.09169
655	12858.33986
656	12856.97015
657	12856.61718
658	12855.55865
659	12855.1721
660	12854.62907
661	12853.98317
662	12853.59702
663	12853.17244
664	12852.42214
665	12851.60619
666	12851.18626
667	12850.73971
668	12850.341
669	12849.94314
670	12849.45517
671	12848.80374
672	12848.26114
673	12847.6894
674	12847.2576
675	12846.98503
676	12846.60218
677	12845.94496
678	12845.29606
679	12844.56817
680	12844.18554
681	12843.81814
682	12843.45238
683	12843.03448
684	12842.74178
685	12842.38667
686	12841.76317
687	12841.47864
688	12841.10453
689	12840.43235
690	12840.01804
691	12839.65884
692	12839.27995
693	12838.98671
694	12838.62726
695	12838.24436
696	12837.86076
697	12837.46611
698	12837.10285
699	12836.45938
700	12836.10517
701	12835.44905
702	12835.16885
703	12834.44348
704	12833.7755
705	12833.3848
706	12832.66538
707	12832.29287
708	12831.86014
709	12831.57412
710	12831.14369
711	12830.77554
712	12830.3942
713	12829.90873
714	12829.1244
715	12828.49092
716	12828.1789
717	12827.54668
718	12826.81472
719	12826.166
720	12825.64834
721	12825.32569
722	12825.0138
723	12824.69622
724	12824.35417
725	12824.03641
726	12823.30302
727	12822.91256
728	12822.53128
729	12822.12114
730	12821.38462
731	12820.6625
732	12819.94841
733	12819.40054
734	12819.072
735	12818.12041
736	12817.47232
737	12817.08963
738	12816.33773
739	12815.61749
740	12814.94389
741	12814.6106
742	12814.22265
743	12813.60866
744	12813.22839
745	12812.83502
746	12812.45323
747	12812.01783
748	12811.61218
749	12810.99175
750	12810.6107
751	12810.21639
752	12809.92966
753	12809.21948
754	12808.55609
755	12807.82427
756	12807.52701
757	12807.2238
758	12806.37054
759	12805.74057
760	12805.35455
761	12804.98192
762	12804.5952
763	12804.27017
764	12803.85128
765	12803.50457
766	12802.80385
767	12802.27193
768	12801.66124
769	12801.31221
770	12800.57026
771	12799.8646
772	12799.36276
773	12798.7354
774	12798.36711
775	12798.02957
776	12797.56808
777	12796.87795
778	12795.95397
779	12795.62252
780	12795.34791
781	12794.8305
782	12794.31393
783	12793.60385
784	12792.95476
785	12792.31965
786	12791.70371
787	12791.38141
788	12791.04993
789	12790.66829
790	12790.05409
791	12789.75369
792	12789.379
793	12788.86115
794	12788.46735
795	12788.09903
796	12787.13336
797	12786.75496
798	12786.48414
799	12785.90887
800	12785.61813
801	12785.15575
802	12784.45062
803	12783.7219
804	12782.74502
805	12781.9222
806	12781.10739
807	12780.50106
808	12779.85544
809	12779.53795
810	12779.23534
811	12778.97951
812	12778.36528
813	12777.95549
814	12777.55396
815	12777.19871
816	12776.8936
817	12776.29021
818	12775.6755
819	12775.28996
820	12774.95818
821	12774.27309
822	12773.85793
823	12773.23546
824	12772.36673
825	12772.04729
826	12771.49589
827	12771.22961
828	12770.82403
829	12770.5353
830	12770.12774
831	12769.45156
832	12769.12796
833	12768.46031
834	12767.86926
835	12767.12199
836	12766.46222
837	12766.19934
838	12765.34841
839	12765.08068
840	12764.41887
841	12763.45768
842	12762.52592
843	12761.9016
844	12761.59486
845	12761.03671
846	12760.35836
847	12759.67753
