iter	Passed	Remaining
0	64	320483
1	120	301201
2	177	295259
3	234	292554
4	293	293362
5	366	305434
6	453	323447
7	544	339944
8	618	343068
9	696	347737
10	774	351081
11	846	351673
12	914	350751
13	984	350587
14	1062	353049
15	1145	356954
16	1229	360449
17	1325	366803
18	1392	364994
19	1471	366502
20	1545	366322
21	1584	358618
22	1656	358404
23	1714	355464
24	1774	353171
25	1835	351069
26	1898	349738
27	1958	347778
28	2016	345739
29	2074	343595
30	2131	341666
31	2189	339943
32	2245	337983
33	2303	336474
34	2370	336223
35	2446	337326
36	2519	337952
37	2586	337744
38	2652	337465
39	2713	336468
40	2786	337058
41	2862	337909
42	2956	340799
43	3023	340591
44	3091	340419
45	3163	340664
46	3235	340986
47	3335	344071
48	3425	346119
49	3504	346966
50	3577	347192
51	3643	346739
52	3714	346709
53	3784	346640
54	3880	348911
55	3982	351630
56	4093	355011
57	4171	355438
58	4245	355544
59	4315	355323
60	4383	354959
61	4452	354629
62	4518	354130
63	4586	353767
64	4656	353563
65	4733	353838
66	4798	353318
67	4876	353665
68	4968	355052
69	5059	356347
70	5151	357629
71	5259	359998
72	5348	360993
73	5421	360883
74	5489	360451
75	5557	360061
76	5633	360176
77	5743	362408
78	5839	363727
79	5939	365288
80	6023	365791
81	6095	365559
82	6160	364938
83	6229	364587
84	6298	364175
85	6366	363786
86	6450	364274
87	6532	364654
88	6598	364118
89	6669	363877
90	6767	365049
91	6864	366186
92	6960	367245
93	7067	368863
94	7148	369091
95	7215	368609
96	7283	368172
97	7349	367631
98	7416	367161
99	7485	366791
100	7576	367516
101	7661	367919
102	7740	368017
103	7841	369152
104	7915	368992
105	7991	368978
106	8065	368805
107	8151	369210
108	8235	369556
109	8312	369516
110	8383	369260
111	8446	368607
112	8515	368269
113	8580	367765
114	8642	367123
115	8713	366880
116	8790	366864
117	8871	367053
118	8937	366597
119	9008	366331
120	9075	365932
121	9139	365436
122	9207	365092
123	9281	364973
124	9348	364608
125	9418	364319
126	9484	363912
127	9553	363644
128	9620	363248
129	9682	362721
130	9747	362282
131	9821	362197
132	9900	362288
133	9967	361944
134	10036	361689
135	10109	361550
136	10180	361381
137	10247	361047
138	10312	360623
139	10387	360598
140	10474	360947
141	10539	360565
142	10605	360217
143	10672	359908
144	10746	359811
145	10813	359506
146	10876	359087
147	10944	358818
148	11008	358411
149	11075	358099
150	11145	357919
151	11212	357618
152	11280	357349
153	11345	357010
154	11410	356662
155	11481	356502
156	11545	356147
157	11611	355838
158	11679	355601
159	11747	355352
160	11769	353735
161	11836	353493
162	11901	353173
163	11967	352880
164	12036	352707
165	12102	352431
166	12170	352213
167	12240	352057
168	12303	351705
169	12370	351471
170	12431	351074
171	12499	350853
172	12564	350577
173	12629	350297
174	12695	350039
175	12764	349851
176	12830	349600
177	12899	349444
178	12966	349226
179	13030	348933
180	13097	348716
181	13160	348388
182	13225	348119
183	13326	348806
184	13388	348454
185	13460	348375
186	13523	348075
187	13600	348120
188	13665	347849
189	13731	347621
190	13804	347563
191	13874	347440
192	13940	347218
193	14005	346970
194	14072	346767
195	14138	346529
196	14203	346283
197	14269	346060
198	14335	345857
199	14397	345543
200	14464	345358
201	14537	345310
202	14601	345044
203	14666	344813
204	14730	344546
205	14794	344293
206	14862	344129
207	14927	343899
208	14991	343651
209	15057	343451
210	15126	343310
211	15193	343150
212	15260	342970
213	15326	342771
214	15391	342554
215	15458	342383
216	15521	342125
217	15590	341991
218	15658	341845
219	15725	341662
220	15790	341470
221	15866	341477
222	15996	342661
223	16068	342612
224	16137	342466
225	16203	342287
226	16279	342309
227	16353	342273
228	16421	342134
229	16494	342084
230	16564	341983
231	16636	341901
232	16699	341656
233	16765	341469
234	16827	341195
235	16894	341039
236	16960	340858
237	17022	340596
238	17091	340461
239	17155	340242
240	17226	340168
241	17294	340033
242	17360	339845
243	17428	339716
244	17494	339528
245	17557	339298
246	17622	339112
247	17690	338968
248	17758	338841
249	17829	338754
250	17895	338584
251	17962	338437
252	18027	338255
253	18098	338173
254	18163	337983
255	18228	337802
256	18293	337605
257	18358	337424
258	18423	337239
259	18489	337080
260	18556	336925
261	18622	336775
262	18686	336574
263	18755	336460
264	18820	336278
265	18887	336147
266	18954	335995
267	19020	335833
268	19092	335794
269	19163	335708
270	19274	336347
271	19339	336158
272	19409	336080
273	19475	335910
274	19551	335936
275	19614	335719
276	19681	335577
277	19746	335402
278	19814	335275
279	19879	335118
280	19947	334995
281	20016	334881
282	20091	334886
283	20159	334758
284	20223	334576
285	20288	334411
286	20356	334284
287	20421	334120
288	20487	333965
289	20556	333864
290	20626	333783
291	20693	333641
292	20757	333471
293	20824	333333
294	20887	333138
295	20955	333028
296	21025	332934
297	21090	332781
298	21160	332686
299	21225	332526
300	21289	332357
301	21354	332201
302	21423	332098
303	21492	331996
304	21559	331880
305	21621	331665
306	21687	331525
307	21754	331396
308	21820	331265
309	21890	331175
310	21956	331040
311	22020	330873
312	22081	330661
313	22147	330520
314	22214	330400
315	22279	330245
316	22343	330073
317	22411	329969
318	22474	329789
319	22540	329650
320	22615	329651
321	22710	329932
322	22782	329881
323	22846	329729
324	22913	329600
325	22985	329554
326	23055	329469
327	23119	329309
328	23183	329154
329	23251	329049
330	23316	328898
331	23382	328766
332	23447	328616
333	23512	328474
334	23581	328376
335	23644	328209
336	23707	328037
337	23777	327967
338	23844	327843
339	23907	327675
340	23971	327518
341	24036	327374
342	24104	327270
343	24177	327240
344	24242	327098
345	24312	327021
346	24377	326882
347	24439	326705
348	24502	326529
349	24566	326389
350	24634	326284
351	24703	326192
352	24767	326046
353	24833	325919
354	24900	325805
355	24963	325646
356	25027	325494
357	25095	325394
358	25164	325316
359	25228	325163
360	25293	325028
361	25362	324953
362	25431	324864
363	25499	324768
364	25564	324637
365	25628	324486
366	25694	324369
367	25761	324264
368	25833	324217
369	25902	324133
370	25967	324000
371	26034	323887
372	26099	323764
373	26166	323650
374	26279	324118
375	26345	323994
376	26414	323906
377	26485	323852
378	26568	323940
379	26656	324084
380	26742	324207
381	26834	324405
382	26921	324533
383	27013	324724
384	27097	324812
385	27195	325083
386	27291	325311
387	27375	325407
388	27475	325684
389	27564	325828
390	27651	325945
391	27729	325962
392	27803	325930
393	27874	325858
394	27942	325762
395	28025	325831
396	28115	325983
397	28202	326105
398	28219	325409
399	28298	325437
400	28368	325357
401	28435	325235
402	28500	325101
403	28567	324996
404	28641	324952
405	28726	325045
406	28813	325161
407	28886	325119
408	28953	325005
409	29022	324909
410	29102	324937
411	29210	325291
412	29314	325584
413	29398	325660
414	29474	325636
415	29539	325500
416	29605	325381
417	29676	325310
418	29813	325961
419	29897	326024
420	29990	326191
421	30076	326283
422	30166	326415
423	30246	326434
424	30318	326365
425	30384	326242
426	30462	326236
427	30527	326098
428	30591	325953
429	30660	325860
430	30728	325748
431	30797	325650
432	30882	325731
433	30968	325813
434	31043	325776
435	31109	325650
436	31176	325532
437	31244	325431
438	31308	325284
439	31377	325181
440	31448	325110
441	31520	325043
442	31588	324938
443	31653	324800
444	31721	324697
445	31788	324579
446	31824	324156
447	31892	324054
448	31962	323966
449	32030	323867
450	32098	323762
451	32164	323634
452	32233	323542
453	32300	323427
454	32375	323396
455	32468	323544
456	32536	323441
457	32601	323313
458	32669	323207
459	32735	323080
460	32803	322983
461	32869	322862
462	32935	322741
463	32971	322320
464	33035	322184
465	33102	322077
466	33169	321968
467	33240	321895
468	33306	321772
469	33390	321824
470	33483	321968
471	33582	322166
472	33661	322168
473	33766	322423
474	33882	322778
475	33963	322794
476	34035	322733
477	34104	322635
478	34186	322665
479	34265	322668
480	34356	322784
481	34434	322767
482	34509	322731
483	34583	322684
484	34654	322603
485	34722	322507
486	34792	322418
487	34857	322290
488	34921	322146
489	34990	322057
490	35066	322023
491	35137	321952
492	35206	321855
493	35278	321794
494	35346	321693
495	35420	321644
496	35505	321689
497	35591	321750
498	35702	322035
499	35787	322090
500	35854	321975
501	35931	321950
502	36016	322003
503	36081	321867
504	36148	321754
505	36218	321669
506	36306	321745
507	36403	321896
508	36496	322012
509	36592	322157
510	36702	322417
511	36813	322696
512	36892	322683
513	36967	322634
514	37041	322582
515	37113	322510
516	37221	322757
517	37301	322752
518	37371	322664
519	37444	322595
520	37531	322658
521	37609	322632
522	37681	322565
523	37761	322557
524	37858	322695
525	37939	322701
526	38016	322668
527	38093	322640
528	38169	322602
529	38240	322517
530	38312	322443
531	38388	322404
532	38471	322426
533	38570	322572
534	38670	322736
535	38753	322751
536	38823	322658
537	38892	322565
538	38972	322552
539	39067	322664
540	39156	322736
541	39215	322550
542	39309	322657
543	39392	322670
544	39490	322808
545	39584	322907
546	39689	323100
547	39786	323225
548	39878	323316
549	39985	323515
550	40082	323645
551	40182	323790
552	40264	323793
553	40331	323670
554	40395	323529
555	40473	323497
556	40586	323743
557	40659	323669
558	40730	323585
559	40808	323551
560	40877	323447
561	40948	323359
562	41017	323256
563	41085	323150
564	41152	323028
565	41223	322938
566	41298	322884
567	41390	322964
568	41486	323066
569	41556	322973
570	41626	322881
571	41695	322778
572	41766	322688
573	41843	322643
574	41916	322577
575	41980	322436
576	42045	322302
577	42113	322187
578	42177	322052
579	42245	321938
580	42333	321982
581	42418	321999
582	42507	322047
583	42605	322170
584	42696	322229
585	42778	322222
586	42862	322235
587	42953	322300
588	43045	322366
589	43126	322354
590	43218	322421
591	43299	322408
592	43387	322445
593	43474	322469
594	43548	322403
595	43614	322275
596	43679	322148
597	43748	322042
598	43851	322186
599	43919	322078
600	43988	321973
601	44055	321850
602	44120	321719
603	44189	321616
604	44252	321473
605	44319	321349
606	44385	321228
607	44456	321141
608	44527	321053
609	44593	320925
610	44670	320883
611	44736	320758
612	44805	320655
613	44877	320577
614	44941	320437
615	45010	320332
616	45073	320187
617	45136	320043
618	45204	319938
619	45274	319842
620	45340	319721
621	45408	319610
622	45472	319472
623	45537	319345
624	45607	319255
625	45676	319153
626	45743	319038
627	45814	318951
628	45879	318819
629	45945	318698
630	46010	318576
631	46076	318450
632	46141	318325
633	46208	318214
634	46273	318086
635	46337	317951
636	46417	317926
637	46501	317932
638	46582	317912
639	46662	317888
640	46753	317941
641	46835	317927
642	46916	317905
643	47002	317921
644	47092	317965
645	47180	317993
646	47254	317928
647	47322	317820
648	47426	317953
649	47497	317869
650	47570	317796
651	47648	317753
652	47737	317786
