iter	Logloss
0	0.6753808995
1	0.6566998533
2	0.6379914283
3	0.6202048279
4	0.6039304702
5	0.5859209047
6	0.5696664082
7	0.5547823467
8	0.5397138603
9	0.5255119949
10	0.5134727282
11	0.5020771331
12	0.4900528811
13	0.4783215877
14	0.4672080463
15	0.4560768465
16	0.4460880711
17	0.4351863433
18	0.4241489448
19	0.414774922
20	0.405631415
21	0.3962781346
22	0.3876492395
23	0.379016952
24	0.3703361602
25	0.3630586128
26	0.3566075581
27	0.3487495109
28	0.3411187481
29	0.3348076467
30	0.3285487673
31	0.3229432977
32	0.3173509636
33	0.3124053412
34	0.3074211612
35	0.3018272746
36	0.2966327145
37	0.2930810939
38	0.2898232617
39	0.2849552806
40	0.2804654418
41	0.2761656302
42	0.2718794351
43	0.2678602487
44	0.2638258462
45	0.2601553576
46	0.2561453861
47	0.252307237
48	0.2491946053
49	0.2461686788
50	0.2430064738
51	0.2396664845
52	0.2366575351
53	0.2347092292
54	0.2322853798
55	0.2294424531
56	0.2269383778
57	0.2243878543
58	0.2219536706
59	0.2202138319
60	0.2174230712
61	0.2151071848
62	0.2129783654
63	0.2108172737
64	0.2094631672
65	0.2070465744
66	0.2057812029
67	0.2039699074
68	0.2023823284
69	0.2007978744
70	0.1991975524
71	0.1974903889
72	0.1962938375
73	0.1946151179
74	0.1928309063
75	0.191197521
76	0.1897693344
77	0.1884342557
78	0.186724235
79	0.1850573955
80	0.1837498124
81	0.1826008878
82	0.1813952805
83	0.1803135232
84	0.1791531679
85	0.1782291107
86	0.1768574623
87	0.1758691168
88	0.1747321636
89	0.1738328252
90	0.1730599996
91	0.1719442326
92	0.1710601423
93	0.1704475626
94	0.16989416
95	0.1687083667
96	0.1676850081
97	0.1669059719
98	0.1661861194
99	0.1656292625
100	0.16489996
101	0.1642317777
102	0.1632064358
103	0.1623403439
104	0.1614580543
105	0.1608652901
106	0.1602282491
107	0.1598099401
108	0.1592066776
109	0.15870221
110	0.1582167905
111	0.1576696688
112	0.1568582141
113	0.1565010009
114	0.156160603
115	0.1558175219
116	0.1550936882
117	0.1544571221
118	0.1539117252
119	0.1535972932
120	0.1529845721
121	0.1524585121
122	0.151831131
123	0.1514647765
124	0.1512058095
125	0.1508731959
126	0.1502510362
127	0.1497120629
128	0.1493264567
129	0.1488608144
130	0.1485099676
131	0.1481960816
132	0.1479719799
133	0.14748555
134	0.1470449746
135	0.1468270758
136	0.1463070192
137	0.1457814139
138	0.1454915326
139	0.1451940188
140	0.1449940025
141	0.1445344282
142	0.1443399714
143	0.1440915984
