iter	Passed	Remaining
0	42	21303
1	85	21272
2	128	21303
3	167	20809
4	208	20617
5	253	20837
6	294	20747
7	335	20605
8	375	20501
9	418	20501
10	455	20242
11	502	20451
12	545	20428
13	587	20401
14	629	20360
15	671	20309
16	713	20267
17	754	20212
18	799	20230
19	844	20260
20	889	20285
21	933	20272
22	972	20165
23	1009	20014
24	1052	19998
25	1097	20001
26	1140	19983
27	1185	19989
28	1226	19922
29	1268	19875
30	1310	19824
31	1352	19780
32	1394	19734
33	1437	19697
34	1479	19653
35	1524	19654
36	1569	19636
37	1613	19614
38	1654	19551
39	1697	19518
40	1743	19514
41	1789	19518
42	1831	19469
43	1876	19442
44	1918	19397
45	1959	19341
46	1999	19276
47	2043	19243
48	2087	19217
49	2133	19199
50	2173	19139
51	2219	19119
52	2265	19107
53	2306	19046
54	2350	19015
55	2393	18980
56	2436	18936
57	2483	18925
58	2527	18890
59	2570	18848
60	2616	18833
61	2660	18794
62	2702	18746
63	2746	18712
64	2788	18660
65	2834	18637
66	2875	18582
67	2916	18530
68	2960	18495
69	3003	18448
70	3045	18401
71	3087	18353
72	3129	18307
73	3179	18302
74	3222	18260
75	3264	18211
76	3309	18181
77	3351	18131
78	3399	18117
79	3440	18061
80	3484	18025
81	3529	17992
82	3575	17963
83	3618	17919
84	3664	17892
85	3709	17859
86	3758	17840
87	3801	17798
88	3847	17767
89	3893	17737
90	3935	17688
91	3979	17647
92	4020	17594
93	4061	17541
94	4101	17486
95	4150	17466
96	4195	17432
97	4235	17375
98	4277	17324
99	4319	17277
100	4361	17230
101	4403	17182
102	4451	17157
103	4497	17125
104	4552	17124
105	4595	17082
106	4638	17035
107	4680	16986
108	4722	16940
109	4763	16888
110	4807	16849
111	4848	16797
112	4895	16765
113	4935	16710
114	4975	16657
115	5018	16614
116	5067	16588
117	5111	16547
118	5155	16506
119	5197	16459
120	5240	16415
121	5285	16376
122	5329	16335
123	5372	16290
124	5412	16238
125	5452	16185
126	5500	16153
127	5546	16119
128	5594	16089
129	5641	16055
130	5684	16012
131	5724	15960
132	5766	15911
133	5810	15871
134	5856	15833
135	5896	15782
136	5942	15745
137	5989	15711
138	6027	15654
139	6072	15614
140	6112	15563
141	6159	15529
142	6200	15479
143	6241	15429
144	6282	15380
145	6323	15331
146	6363	15279
147	6404	15233
148	6447	15187
149	6489	15141
150	6528	15089
151	6577	15059
152	6621	15016
153	6669	14984
154	6713	14943
155	6759	14905
156	6805	14867
157	6852	14832
158	6891	14780
159	6930	14726
160	6969	14674
161	7015	14638
162	7060	14596
163	7103	14554
164	7149	14515
165	7190	14467
166	7233	14423
167	7277	14381
168	7318	14333
169	7365	14296
170	7408	14254
171	7453	14213
172	7496	14170
173	7540	14128
174	7581	14080
175	7625	14038
176	7665	13989
177	7704	13936
178	7748	13896
179	7787	13843
180	7827	13795
181	7870	13752
182	7912	13706
183	7949	13652
184	7996	13615
185	8033	13561
186	8075	13515
187	8110	13460
188	8158	13425
189	8200	13379
190	8235	13323
191	8277	13278
192	8314	13224
193	8358	13184
194	8399	13138
195	8446	13101
196	8486	13052
197	8527	13006
198	8565	12955
199	8606	12910
200	8644	12858
201	8689	12819
202	8732	12776
203	8778	12737
204	8822	12695
205	8868	12656
206	8908	12610
207	8948	12562
208	8986	12511
209	9029	12469
210	9072	12426
211	9114	12381
212	9151	12330
213	9197	12292
214	9242	12251
215	9283	12205
216	9323	12159
217	9367	12117
218	9405	12068
219	9448	12025
220	9487	11978
221	9525	11928
222	9571	11889
223	9618	11851
224	9663	11810
225	9701	11761
226	9740	11714
227	9785	11673
228	9821	11622
229	9868	11585
230	9910	11540
231	9955	11499
232	9991	11449
233	10038	11411
234	10085	11372
235	10128	11330
236	10173	11289
237	10212	11242
238	10256	11200
239	10299	11158
240	10336	11108
241	10374	11060
242	10412	11012
243	10457	10972
244	10502	10930
245	10546	10889
246	10589	10846
247	10641	10813
248	10679	10765
249	10717	10717
250	10755	10669
251	10804	10632
252	10843	10586
253	10889	10546
254	10933	10504
255	10977	10463
256	11024	10424
257	11067	10380
258	11104	10333
259	11147	10290
260	11184	10241
261	11227	10199
262	11267	10153
263	11313	10114
264	11351	10066
265	11394	10024
266	11440	9983
267	11486	9943
268	11528	9900
269	11573	9858
270	11613	9813
271	11652	9767
272	11690	9720
273	11729	9674
274	11767	9627
275	11810	9585
276	11848	9538
277	11890	9495
278	11940	9458
279	11988	9419
280	12032	9377
281	12070	9331
282	12116	9290
283	12160	9248
284	12200	9203
285	12243	9161
286	12288	9120
287	12329	9075
288	12368	9029
289	12412	8988
290	12452	8943
291	12490	8897
292	12536	8856
293	12574	8810
294	12620	8770
295	12667	8730
296	12722	8696
